Date,Open,High,Low,Close
12/25/2025 04:50,87722.4,87865,87722.4,87766.9
12/25/2025 04:45,87782.4,87833,87722.4,87784.9
12/25/2025 04:40,87719.4,87838,87713,87728
12/25/2025 04:35,87826,87835,87706,87781.9
12/25/2025 04:30,87788,87826,87699,87824
12/25/2025 04:25,87791.8,87843,87688,87757.4
12/25/2025 04:20,87768.9,87855,87732,87750
12/25/2025 04:15,87781.7,87867,87728.2,87852
12/25/2025 04:10,87700,87812,87692,87718
12/25/2025 04:05,87716.8,87820,87687,87700
12/25/2025 04:00,87839.1,87875,87687,87752
12/25/2025 03:55,87787,87896,87784.3,87838.7
12/25/2025 03:50,87740,87876,87725.6,87787
12/25/2025 03:45,87730.1,87835,87724,87780.1
12/25/2025 03:40,87722,87840,87714,87730.1
12/25/2025 03:35,87750,87857,87730,87787.5
12/25/2025 03:30,87784.2,87858,87724,87842
12/25/2025 03:25,87842.4,87896,87773,87784.2
12/25/2025 03:20,87787.3,87932,87770,87796
12/25/2025 03:15,87782,87878,87751,87787.3
12/25/2025 03:10,87750.2,87888,87722,87782
12/25/2025 03:05,87929,87931,87721,87817
12/25/2025 03:00,87844,87958,87813,87847.9
12/25/2025 02:55,87817,87947,87817,87844
12/25/2025 02:50,87816.5,87977,87804,87817
12/25/2025 02:45,87928,87936,87790.2,87811
12/25/2025 02:40,87816,87940,87699.9,87935
12/25/2025 02:35,87708,87818,87678,87818
12/25/2025 02:30,87660,87802,87660,87708
12/25/2025 02:25,87700.5,87782,87660,87707.3
12/25/2025 02:20,87673.6,87783,87657,87660
12/25/2025 02:15,87722.8,87783,87660,87744.2
12/25/2025 02:10,87585.5,87790,87577,87734.6
12/25/2025 02:05,87561,87676,87551,87622.1
12/25/2025 02:00,87631.2,87730,87513,87646
12/25/2025 01:55,87616,87728,87616,87631.2
12/25/2025 01:50,87706.9,87777,87616,87654.9
12/25/2025 01:45,87730,87766,87645,87656
12/25/2025 01:40,87551,87762,87551,87729.9
12/25/2025 01:35,87524,87647,87524,87646
12/25/2025 01:30,87657.4,87757,87548,87604
12/25/2025 01:25,87672.4,87771,87631,87733
12/25/2025 01:20,87653,87751,87594.9,87718
12/25/2025 01:15,87592.1,87708,87551,87671.7
12/25/2025 01:10,87549,87689,87549,87650.3
12/25/2025 01:05,87598,87648,87510,87549
12/25/2025 01:00,87488,87633,87488,87597
12/25/2025 00:55,87509.1,87621,87460,87502
12/25/2025 00:50,87621.7,87646,87497,87570.2
12/25/2025 00:45,87566,87675,87485,87567
12/25/2025 00:40,87488,87608,87473,87482
12/25/2025 00:35,87693,87713,87471,87568
12/25/2025 00:30,87563.7,87736,87541,87614.1
12/25/2025 00:25,87713,87720,87562,87562
12/25/2025 00:20,87734,87755,87624,87665.2
12/25/2025 00:15,87595,87766,87585,87678.6
12/25/2025 00:10,87716,87742,87530,87603.1
12/25/2025 00:05,87556,87754,87556,87649
12/25/2025 00:00,87613.6,87697,87513,87619.4
12/24/2025 23:55,87617.9,87757,87598,87664.3
12/24/2025 23:50,87605,87727,87598.6,87617.9
12/24/2025 23:45,87586,87720,87586,87606
12/24/2025 23:40,87649.7,87711,87557,87681
12/24/2025 23:35,87663.5,87742,87619,87649.7
12/24/2025 23:30,87544,87739,87535.3,87649.7
12/24/2025 23:25,87600,87681,87527.2,87535.3
12/24/2025 23:20,87769.4,87848,87569,87600
12/24/2025 23:15,87769.2,87859,87708,87771.6
12/24/2025 23:10,87808.8,87887,87749,87769.2
12/24/2025 23:05,87787.1,87909,87733,87792.9
12/24/2025 23:00,87940,88051,87736.7,87822.6
12/24/2025 22:55,87948.5,88057,87904,87940
12/24/2025 22:50,88007,88037,87889,88031
12/24/2025 22:45,87944.3,88031,87889,87955.2
12/24/2025 22:40,87889,88051,87880,88007
12/24/2025 22:35,87875.2,88041,87875.2,87925.4
12/24/2025 22:30,87811,87974,87696,87875.2
12/24/2025 22:25,87707.5,87834,87707.5,87726.3
12/24/2025 22:20,87827,87827,87707.5,87788
12/24/2025 22:15,87837,87882,87735.4,87805.6
12/24/2025 22:10,87754,87906,87754,87754
12/24/2025 22:05,87638,87875,87638,87754
12/24/2025 22:00,87634.6,87737,87624.8,87736
12/24/2025 21:55,87634.6,87733,87589.7,87634.6
12/24/2025 21:50,87729,87730,87607,87691.5
12/24/2025 21:45,87694.9,87782,87629,87728
12/24/2025 21:40,87709.8,87811,87680,87750
12/24/2025 21:35,87713.9,87816,87649,87749.9
12/24/2025 21:30,87740,87769,87640,87746
12/24/2025 21:25,87626.2,87783,87570,87649.9
12/24/2025 21:20,87586.3,87663,87555,87637.6
12/24/2025 21:15,87662,87683,87555,87617.6
12/24/2025 21:10,87571.1,87668,87538,87641.4
12/24/2025 21:05,87572.6,87692,87542,87626.9
12/24/2025 21:00,87546.1,87677,87487,87572.6
12/24/2025 20:55,87568,87584,87457,87574
12/24/2025 20:50,87600,87602.2,87473,87500
12/24/2025 20:45,87583.7,87658,87497,87516.5
12/24/2025 20:40,87669,87681,87578.8,87660
12/24/2025 20:35,87533,87676,87523,87645.2
12/24/2025 20:30,87635,87698,87533,87555.8
12/24/2025 20:25,87653,87653,87540,87618
12/24/2025 20:20,87575.9,87662,87559.2,87569.4
12/24/2025 20:15,87544.8,87679,87543,87568
12/24/2025 20:10,87534.5,87703,87516,87544.8
12/24/2025 20:05,87512,87626,87477,87592.9
12/24/2025 20:00,87584,87610,87494,87499.9
12/24/2025 19:55,87528,87600,87463,87584
12/24/2025 19:50,87568,87592,87463,87527.8
12/24/2025 19:45,87445.8,87579,87432,87545
